,paper_id,author_name,author_affiliation,authorId,affiliation_type_auto,affiliation_type_full
2567,2d24d9befd1f8d0169aa8d0888171bff0363a37a,Matti Varjokallio,,3167554,,
2568,2d24d9befd1f8d0169aa8d0888171bff0363a37a,Sami Virpioja,,3057578,,
2569,2d24d9befd1f8d0169aa8d0888171bff0363a37a,M. Kurimo,,1719346,,
2570,2b48bba5ca7778919b899a0c093b2c6208e7af3b,Quoc Bao Nguyen,,2365690,,
2571,2b48bba5ca7778919b899a0c093b2c6208e7af3b,Van Tuan Mai,,2046872007,,
2572,2b48bba5ca7778919b899a0c093b2c6208e7af3b,Quang Trung Le,,2056975244,,
2573,2b48bba5ca7778919b899a0c093b2c6208e7af3b,Ba Quyen Dam,,46225185,,
2574,2b48bba5ca7778919b899a0c093b2c6208e7af3b,V. Do,,32444661,,
2575,3791dab96a9741edabf5d08087b4c2a4155f934f,Y. Nozaki,,46853786,,
2576,3791dab96a9741edabf5d08087b4c2a4155f934f,T. Nakamoto,,3237643,,
3294,ab953aa615ceffe9979bd07a46489d95fd2b2221,Hongming Zhang,The Hong Kong University of Science and Technology,48212577,Academic,Academic
3305,0d2e1b1cce3bad61ef7937f2e3767f77bf5afe85,Min-Yen Kan,National University of Singapore,37596605,Academic,Academic
3343,1013750582c20bbdf1164127b5f26b1e06e817e3,Dinghan Shen,Duke University,19178763,Academic,Academic
2580,7cb8fc696df7775cdad468d795951053d7b95cf3,Pascale Fung,,1683412,,
2581,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,A. G. Baydin,,1739503,,
2582,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,L. Heinrich,,24060472,,
2583,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,W. Bhimji,,73991716,,
3348,1359d2ef45f1550941e22bf046026c89f6edf315,Wissam Antoun,American University of Beirut,51040671,Academic,Academic
2585,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,Bradley Gram-Hansen,,1388776554,,
3368,8ae9a17c87a4518b513e860683a0ef7824be994d,Timo Schick,LMU Munich,32246932,Academic,Academic
2587,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,Lei Shao,,2067610029,,
2588,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,Prabhat,,1764912,,
2589,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,K. Cranmer,,11638962,,
2590,9ecbc88c1cbf9709c0a26ecb4430223d9ec9aef4,Frank D. Wood,,2347189,,
2591,273cfe6b6bc058af386658f58ec412cc005c5f50,Peng Shen,,49957936,,
2592,273cfe6b6bc058af386658f58ec412cc005c5f50,Xugang Lu,,1711321,,
